dataset,run,gap,gap_seed,method,short_name,lead,far_preonset_pct,valid
XJTU-SY,Bearing1_1,0.0,-1,"CUSUM (k=0.5, h=5.0)",cusum,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.0,-1,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.0,-1,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,101,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,101,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,101,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,101,"CUSUM (k=0.5, h=5.0)",cusum,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,101,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,101,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,102,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,102,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,102,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,102,"CUSUM (k=0.5, h=5.0)",cusum,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,102,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,102,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,103,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,103,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,103,"EWMA (λ=0.2, k=3.0)",ewma,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.05,103,"CUSUM (k=0.5, h=5.0)",cusum,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.05,103,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,103,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,104,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,104,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,104,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,104,"CUSUM (k=0.5, h=5.0)",cusum,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,104,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,104,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,105,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.05,105,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,105,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,105,"CUSUM (k=0.5, h=5.0)",cusum,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.05,105,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.05,105,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,101,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,101,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,101,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,101,"CUSUM (k=0.5, h=5.0)",cusum,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,101,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,101,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,102,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,102,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,102,"EWMA (λ=0.2, k=3.0)",ewma,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.2,102,"CUSUM (k=0.5, h=5.0)",cusum,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.2,102,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,102,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,103,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,103,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,103,"EWMA (λ=0.2, k=3.0)",ewma,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.2,103,"CUSUM (k=0.5, h=5.0)",cusum,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.2,103,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,103,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,104,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,104,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,104,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,104,"CUSUM (k=0.5, h=5.0)",cusum,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,104,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,104,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,105,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_1,0.2,105,3σ Rule (σ=3.0),three_sigma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,105,"EWMA (λ=0.2, k=3.0)",ewma,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,105,"CUSUM (k=0.5, h=5.0)",cusum,0.7833333333333333,0.0,True
XJTU-SY,Bearing1_1,0.2,105,Hotelling T²,hotelling_t2,0.8666666666666667,100.0,False
XJTU-SY,Bearing1_1,0.2,105,Isolation Forest,isolation_forest,0.0,0.0,False
XJTU-SY,Bearing1_2,0.0,-1,RMS-Trend (kσ),rms_trend,0.0,0.0,False
XJTU-SY,Bearing1_2,0.0,-1,3σ Rule (σ=3.0),three_sigma,0.0,0.0,False
XJTU-SY,Bearing1_2,0.0,-1,"EWMA (λ=0.2, k=3.0)",ewma,0.6666666666666666,0.0,True
XJTU-SY,Bearing1_2,0.0,-1,"CUSUM (k=0.5, h=5.0)",cusum,0.5833333333333334,0.0,True
XJTU-SY,Bearing1_2,0.0,-1,Hotelling T²,hotelling_t2,1.0833333333333333,100.0,False
XJTU-SY,Bearing1_2,0.0,-1,Isolation Forest,isolation_forest,0.0,0.0,False
