timestamp,hours_from_start,health_indicator
2023-11-09 00:04:50,12.672222,-0.386766
2023-11-09 00:05:01,12.675278,-0.180018
2023-11-09 00:05:10,12.677778,-0.283392
2023-11-09 00:05:20,12.680556,-0.464297
2023-11-09 00:05:31,12.683611,-0.464297
2023-11-09 00:05:41,12.686389,-0.645202
2023-11-09 00:05:50,12.688889,-0.464297
2023-11-09 00:06:00,12.691667,-0.386766
2023-11-09 00:06:11,12.694722,-0.645202
2023-11-09 00:06:20,12.697222,-0.593515
2023-11-09 00:06:30,12.7,-0.696889
2023-11-09 00:06:41,12.703056,-0.515984
2023-11-09 00:06:51,12.705833,-0.41261
2023-11-09 00:07:00,12.708333,-0.567671
2023-11-09 00:07:10,12.711111,-0.360923
2023-11-09 00:07:21,12.714167,-0.231705
2023-11-09 00:07:31,12.716944,-0.438453
2023-11-09 00:07:40,12.719444,-0.386766
2023-11-09 00:07:51,12.7225,-0.335079
2023-11-09 00:08:01,12.725278,-0.438453
2023-11-09 00:08:10,12.727778,-0.386766
2023-11-09 00:08:20,12.730556,-0.386766
2023-11-09 00:08:31,12.733611,-0.464297
2023-11-09 00:08:41,12.736389,-0.360923
2023-11-09 00:08:50,12.738889,-0.515984
2023-11-09 00:09:01,12.741944,-0.41261
2023-11-09 00:09:11,12.744722,-0.567671
2023-11-09 00:09:20,12.747222,-0.360923
2023-11-09 00:09:30,12.75,-0.283392
2023-11-09 00:09:41,12.753056,-0.49014
2023-11-09 00:09:51,12.755833,-0.205862
2023-11-09 00:10:00,12.758333,-0.076644
2023-11-09 00:10:10,12.761111,-0.438453
2023-11-09 00:10:21,12.764167,-0.49014
2023-11-09 00:10:30,12.766667,-0.619358
2023-11-09 00:10:40,12.769444,-0.593515
2023-11-09 00:10:51,12.7725,-0.515984
2023-11-09 00:11:01,12.775278,-0.619358
2023-11-09 00:11:10,12.777778,-0.335079
2023-11-09 00:11:20,12.780556,-0.360923
2023-11-09 00:11:31,12.783611,-0.360923
2023-11-09 00:11:40,12.786111,-0.696889
2023-11-09 00:11:50,12.788889,-0.438453
2023-11-09 00:12:01,12.791944,-0.41261
2023-11-09 00:12:11,12.794722,-0.386766
2023-11-09 00:12:20,12.797222,-0.283392
2023-11-09 00:12:30,12.8,-0.386766
2023-11-09 00:12:41,12.803056,-0.41261
2023-11-09 00:12:51,12.805833,-0.49014
