dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,indicator,median_shift_vs_rms_kurt_h,sign_pattern
Ferrara,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,6,5,1,"+0.0022, -0.0072, -0.0733, -0.0311, -0.1364",-0.03111111111111109,1,4,0,5,0.0625,0.375,False,1.0,False,44.0,rms_kurt,0.0,1+/4-/0=
Ferrara,deep_svdd,Deep SVDD,gated_D7,6,5,1,"+0.0003, -0.0094, -0.0061, -0.0069, -0.0050",-0.006111111111111098,1,4,0,5,0.0625,0.375,False,1.0,False,44.0,rms_kurt,0.0,1+/4-/0=
Ferrara,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,6,5,1,"-1.1444, -0.0097, -0.0733, -0.1144, -0.1378",-0.11444444444444443,0,5,0,5,0.0625,0.0625,True,1.0,False,44.0,rms_kurt,0.0,0+/5-/0=
Ferrara,hotelling_t2,Hotelling T²,gated_D7,6,5,1,"-1.0250, -0.0636, -0.0244, -0.3089, -0.0467",-0.06361111111111109,0,5,0,5,0.0625,0.0625,True,1.0,False,44.0,rms_kurt,0.0,0+/5-/0=
Ferrara,isolation_forest,Isolation Forest,gated_D7,6,5,1,"-1.1072, -0.1161, -0.0922, -0.2178, +0.0389",-0.11611111111111105,1,4,0,5,0.0625,0.375,False,1.0,False,44.0,rms_kurt,0.0,1+/4-/0=
Ferrara,lstm_ae,LSTM-Autoencoder,gated_D7,6,5,1,"+0.0444, +0.0000, +0.0000, +0.0000, +0.0000",0.0,2,0,3,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,2+/0-/3=
Ferrara,one_class_svm,One-Class SVM (nu=0.05),gated_D7,6,5,1,"+0.0000, +0.0000, +0.0000, -0.1056, -0.0467",0.0,0,2,3,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,0+/2-/3=
Ferrara,rms_trend,RMS-Trend (kσ),gated_D7,6,5,1,"+0.0108, +0.0092, +0.0072, -0.0133, -0.0508",0.007222222222222241,3,2,0,5,0.0625,1.0,False,1.0,False,44.0,rms_kurt,0.0,3+/2-/0=
Ferrara,tcn,TCN-Autoencoder,gated_D7,6,5,1,"+0.0256, +0.0000, +0.0000, +0.0000, +0.0000",0.0,2,0,3,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,2+/0-/3=
Ferrara,three_sigma,3σ Rule (σ=3.0),gated_D7,6,5,1,"-0.9894, -0.3358, -0.0978, -0.0956, +0.0803",-0.09777777777777777,1,4,0,5,0.0625,0.375,False,1.0,False,44.0,rms_kurt,0.0,1+/4-/0=
Ferrara,transformer_ad,Transformer-AD,gated_D7,6,5,1,"-0.3078, +0.0000, +0.0000, -0.0189, +0.0000",0.0,1,2,2,3,0.25,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/2-/2=
IMS,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,3,3,0,"+0.0000, +5.7778, +4.2667",4.266666666666669,2,0,1,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,2+/0-/1=
IMS,deep_svdd,Deep SVDD,gated_D7,3,3,0,"+8.9298, +0.0000, +0.0000",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,1+/0-/2=
IMS,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,3,3,0,"+0.0000, +6.0000, +2.1000",2.1000000000000014,2,0,1,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,2+/0-/1=
IMS,hotelling_t2,Hotelling T²,gated_D7,3,3,0,"+0.0000, +3.5000, +51.5700",3.5,2,0,1,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,2+/0-/1=
IMS,isolation_forest,Isolation Forest,gated_D7,3,3,0,"+0.0000, +22.4111, +3.4333",3.4333333333333336,2,0,1,2,0.5,0.5,True,1.0,False,44.0,rms_kurt,0.0,2+/0-/1=
IMS,lstm_ae,LSTM-Autoencoder,gated_D7,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/3=
IMS,one_class_svm,One-Class SVM (nu=0.05),gated_D7,3,3,0,"+0.0000, +0.0000, -0.8333",0.0,0,1,2,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,0+/1-/2=
IMS,rms_trend,RMS-Trend (kσ),gated_D7,3,3,0,"+0.0000, +0.0000, +2.3667",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,rms_kurt,0.0,1+/0-/2=
IMS,tcn,TCN-Autoencoder,gated_D7,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/3=
IMS,three_sigma,3σ Rule (σ=3.0),gated_D7,3,3,0,"+0.0000, +18.3222, -1.0000",0.0,1,1,1,2,0.5,1.0,False,1.0,False,44.0,rms_kurt,0.0,1+/1-/1=
IMS,transformer_ad,Transformer-AD,gated_D7,3,3,0,"+0.0000, +0.0000, +0.0000",0.0,0,0,3,0,1.0,1.0,False,1.0,False,44.0,rms_kurt,0.0,0+/0-/3=
ONGC,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
ONGC,deep_svdd,Deep SVDD,gated_D7,1,1,0,+0.0033,0.00333333333333332,1,0,0,1,1.0,1.0,True,,False,,rms_kurt,0.0,1+/0-/0=
ONGC,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,1,1,0,+0.0000,0.0,0,0,1,0,1.0,1.0,False,,False,,rms_kurt,0.0,0+/0-/1=
