dataset,short_name,method,metric,n_runs_with_lead,n_runs_tested,n_runs_excluded_unscoreable,run_diffs,median_diff_h,n_pos,n_neg,n_ties,n_effective,p_floor_two_sided,sign_test_p,all_same_sign,holm_p,holm_reject,family_size,ims_schema,validity_convention
Ferrara,isolation_forest,Isolation Forest,gated_D7,6,5,1,"-0.9694, +0.0472, -0.0175, -0.2347, +0.0000",-0.0175,1,3,1,4,0.125,0.625,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,lstm_ae,LSTM-Autoencoder,gated_D7,6,5,1,"+0.2950, +0.0000, +0.0023, +0.0000, +0.0000",0.0,2,0,3,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,one_class_svm,One-Class SVM (nu=0.05),gated_D7,6,5,1,"+0.4311, +0.0000, +0.0000, -0.1056, +0.0000",0.0,1,1,3,2,0.5,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,rms_trend,RMS-Trend (kσ),gated_D7,6,5,1,"+0.0228, +0.0156, -0.0056, +0.0028, +0.0328",0.015555555555555559,4,1,0,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,tcn,TCN-Autoencoder,gated_D7,6,5,1,"+0.2950, +0.0000, +0.0023, +0.0000, +0.0000",0.0,2,0,3,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,three_sigma,3σ Rule (σ=3.0),gated_D7,6,5,1,"-0.8583, -0.0319, -0.0475, -0.2569, +0.0292",-0.0475,1,4,0,5,0.0625,0.375,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
Ferrara,transformer_ad,Transformer-AD,gated_D7,6,5,1,"+0.0339, +0.0000, +0.0023, -0.0189, +0.0000",0.0,2,1,2,3,0.25,1.0,False,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,cusum,"CUSUM (k=0.5, h=5.0)",gated_D7,3,3,0,"+0.0000, +5.7778, +4.2667",4.266666666666669,2,0,1,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,deep_svdd,Deep SVDD,gated_D7,3,3,0,"+8.9298, +0.0000, +0.0000",0.0,1,0,2,1,1.0,1.0,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,ewma,"EWMA (λ=0.2, k=3.0)",gated_D7,3,3,0,"+0.0000, +6.0000, +2.1000",2.1000000000000014,2,0,1,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
IMS,hotelling_t2,Hotelling T²,gated_D7,3,3,0,"+0.0000, +3.5000, +51.5700",3.5,2,0,1,2,0.5,0.5,True,1.0,False,44.0,invariant (D-2),D-7: empty pre-onset region or no onset = unscoreable; excluded from the denominator and never counted valid
