table,dataset,short_name,field,published,dp,arm,computed,match
tab:holm,FEMTO,transformer_ad,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,FEMTO,rms_trend,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,FEMTO,rms_trend,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,three_sigma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,three_sigma,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,ewma,sign_test_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,ewma,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,cusum,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,Ferrara,cusum,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,hotelling_t2,sign_test_p,0.219,3,A: as printed (IMS legacy file),0.21875,True
tab:holm,Ferrara,hotelling_t2,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,isolation_forest,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,Ferrara,isolation_forest,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,deep_svdd,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,Ferrara,deep_svdd,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,lstm_ae,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,Ferrara,lstm_ae,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
tab:holm,Ferrara,tcn,sign_test_p,0.688,3,A: as printed (IMS legacy file),0.6875,True
tab:holm,Ferrara,tcn,holm_p,1.0,3,A: as printed (IMS legacy file),1.0,True
